画面ID,画面名,URL/Method,機能,接続するDB,ログイン認証
P-01,トップページ,GET/,エリア検索→P-06,店舗情報,不要
P-01,トップページ,GET/,キーワード検索→P-06,店舗情報,不要
P-01,トップページ,GET/,ログインボタン→P-02（ログイン済みの場合表示しない）,なし,不要
P-01,トップページ,GET/,店舗一覧の表示→P-06,店舗情報,不要
P-01,トップページ,GET/,マイページへ→P-12（未ログインの場合ログインへ→P-02),なし,不要
P-02,ログイン,GET/login,メール/パスワード入力フォームとログインボタンを表示,なし,不要
P-02,ログイン,GET/login,「新規登録はこちら」リンクの表示,なし,不要
P-03,ログイン処理,POST/login,送信された情報の認証,ユーザー情報,不要
P-03,ログイン処理,POST/login,成功時：トップへリダイレクト,なし,不要
P-03,ログイン処理,POST/login,失敗時：エラー表示,なし,不要
P-04,新機会員登録,GET/register,メール/パスワード入力フォームとログインボタンを表示,なし,不要
P-05,新規会員登録,POST/register,送信された情報の登録,ユーザー情報,不要
P-06,店舗一覧,GET /restaurants,検索結果または全店舗の一覧表示,店舗情報,不要
P-06,店舗一覧,GET /restaurants,ページネーション,なし,不要
P-07,店舗詳細,GET /restaurants/{id},店舗の基本情報表示 (画像、説明),店舗情報,不要
P-07,店舗詳細,GET /restaurants/{id},平均評価、お気に入り数、レビュー数の表示,レビュー情報,不要
P-07,店舗詳細,GET /restaurants/{id},「お気に入り追加」または削除ボタンの表示→P-11,お気に入り情報,必須
P-07,店舗詳細,GET /restaurants/{id},レビュー一覧表示ボタン,なし,不要
P-08,レビュー詳細,GET /restaurants/{id}/reviews,レビュー一覧表示,レビュー情報,不要
P-09,レビュー投稿フォーム,GET /restaurants/{id}/reviews/create,レビュー入力フォームの表示,店舗情報,必須
P-10,レビュー保存,POST /restaurants/{id}/reviews,レビューの保存と反映→完了後P-07,レビュー情報,必須
P-11,お気に入り処理,POST /restaurants/{id}/favorites,お気に入りの登録/解除処理,お気に入り情報,必須
P-12,マイページ,GET /mypage,ユーザー情報の表示,お気に入り情報、レビュー情報、ユーザー情報,必須
P-12,マイページ,GET /mypage,ログアウトボタン→P-13,なし,必須
P-13,ログアウト処理,POST /logout,ログアウト処理→P-01,なし,必須
